episode,reward,loss
214,-3388.3569,0.0000
215,-3387.5269,0.0000
216,-3384.0318,0.0000
217,-3383.1462,0.0000
218,-957.6355,0.0000
219,-927.8127,0.0000
220,-960.3070,0.0000
221,-955.8773,0.0000
222,-929.1404,0.0000
223,-924.0651,0.0000
224,-928.6909,0.0000
225,-962.6478,0.0000
226,-1112.8873,0.0000
227,-1416.1621,0.0000
228,-968.7094,0.0000
229,-991.8724,0.0000
230,-899.3927,0.0000
231,-918.7386,0.0000
232,-985.8806,0.0000
233,-1056.0835,0.0000
234,-3357.1812,0.0000
235,-3374.3912,0.0000
236,-3382.5655,0.0000
237,-3463.0874,0.0000
238,-3377.1529,0.0000
239,-3375.7036,0.0000
240,-3381.0574,0.0000
241,-3854.3822,0.0000
242,-3377.0032,0.0000
243,-3382.1653,0.0000
244,-3383.7188,0.0000
245,-3380.9908,0.0000
246,-3370.1429,0.0000
247,-3379.5667,0.0000
248,-3505.9539,0.0000
249,-1154.9834,0.0000
